N	DR
1	1.182
2	0.924
3	0.998
4	1.127
5	1.418
6	1.083
7	1.293
8	0.929
9	0.658
10	0.741
11	0.809
12	1.087
13	1.14
14	0.669
15	1.137
16	0.936
17	0.426
18	0.37
19	0.904
20	0.785
21	0.848
22	1.126
23	1.574
24	0.651
25	0.787
26	0.559
27	0.906
28	0.712
29	1.111
30	1.084
31	0.781
32	1.791
33	1.215
34	1.562
35	1.291
36	1.244
37	1.218
38	1.273
39	1.917
40	1.412
41	0.817
42	0.822
43	1.061
44	1.167
45	0.969
46	0.964
47	0.851
48	0.878
49	0.772
50	1.07
51	1.051
52	1.11
53	0.995
54	1.11
55	1.13
56	0.854
57	0.863
58	1.156
59	1.044
60	1.129
61	0.784
62	0.996
63	0.934
64	0.955
65	0.809
66	1.049
67	1.247
68	1.035
69	1.053
70	1.234
71	1.242
72	0.922
73	1.084
74	0.707
75	0.889
76	0.953
77	1.014
78	0.997
79	1.041
80	0.925
81	0.773
82	1.026
83	0.92
84	1.026
85	0.903
86	0.841
87	1.301
88	1.11
89	0.97
90	1.02
91	1.16
92	1.07
93	1.21
94	0.987
95	1.054
96	1.018
97	1.101
98	0.997
99	0.874
100	0.866
101	0.861
102	0.681
103	0.779
104	0.793
105	0.792
106	0.84
107	0.85
108	0.912
109	0.823
110	0.819
111	0.902
112	0.929
113	0.93
114	0.894
115	0.993
116	1.188
117	0.908
118	1.287
119	0.921
120	0.811
121	0.974
122	1.085
123	0.806
124	1.169
